gene_id,Groups,TCGA.BH.A1EV,TCGA.BH.A1F8,TCGA.BH.A1F0,TCGA.AC.A2FM,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FH,TCGA.BH.A203,TCGA.BH.A1EU,TCGA.BH.A1FM,TCGA.BH.A1FR,TCGA.BH.A1EW,TCGA.BH.A208,TCGA.BH.A1FJ,TCGA.BH.A1EN,TCGA.BH.A1FN,TCGA.BH.A1FE,TCGA.BH.A1ET,TCGA.BH.A204,TCGA.BH.A1EO,TCGA.BH.A1F6,TCGA.BH.A1FC,TCGA.BH.A1FB,TCGA.BH.A1FG,TCGA.BH.A209
 , ,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Late,Late,Late,Late,Late,Late,Late,Late
ENSG00000272398.4,na,10.50981591,10.75485377,10.73155691,8.157786467,8.426269124,6.192153533,7.305799293,10.64848426,5.125986272,9.237446119,9.485542802,7.837519049,8.516019387,2.588415251,7.107921974,10.36025514,11.61801856,8.410302575,7.964151396,9.761021077,10.48047876,8.892471357,8.568177744,8.606788563,8.038136814
ENSG00000278828.1,na,0.987878309,2.677213456,2.177264956,0.371294533,4.327099712,4.798202949,2.610477249,5.455469329,1.472729023,3.941578736,2.413624702,0.65298719,0.761683268,5.397883977,0.764587296,0.678804447,2.259592237,1.64155897,2.852067361,0.354647424,1.060948438,3.160867259,2.425397812,3.681305902,0.761243225
ENSG00000197249.11,na,2.457801248,2.774631314,4.608028043,4.254171063,2.761895388,2.199705792,3.273938138,3.621014282,7.6293369,2.070362131,7.855969134,5.321695952,2.328816132,2.365615179,3.406594117,3.91471751,3.604856114,8.333317269,2.301114132,3.344557453,3.88020652,4.49503788,6.034928984,7.600735978,5.160145901
ENSG00000106003.11,na,5.835443328,1.097709066,2.635494541,6.278119046,3.104645352,5.56292785,3.7526365,2.803030492,3.763353358,1.70091787,4.61818894,2.220294581,2.67049976,5.294380324,5.1712496,3.104967742,2.880698548,5.042225566,5.233978149,2.761222114,1.873368311,2.138162102,2.893488831,2.848477059,2.459102532
ENSG00000170786.11,na,1.521119785,2.024068632,0.579541118,4.101500391,0.011707683,0.098324764,0.292099661,0.496491864,1.090523835,2.737432309,0.330466388,1.803919438,4.51212743,5.101093154,6.365702545,2.35255586,1.722778213,2.912634676,0.004506894,1.047863235,0.020244404,0.019847686,0.867598786,2.642683748,3.590862721
ENSG00000125144.12,na,3.922925244,1.440877545,3.415511373,1.200548409,1.447713037,2.016952481,2.783877967,3.223375985,0.652927731,0.994331794,4.431587049,0.904186091,2.033144552,5.871287954,0.401894947,3.664606164,2.368973218,2.109052161,4.250144439,0.646800441,2.665423338,5.715870625,2.911290395,4.994266887,3.848318052
ENSG00000175315.2,na,3.44977524,0.346104813,2.141331311,0.176912412,2.818571144,0.193314919,0.44981164,2.86445298,0.410144803,4.334602963,0.362853724,1.69980486,2.584806888,1.194075426,1.217695763,2.33212063,3.539221509,0.487907621,0.148135171,0.432280777,2.877573107,0.213609693,2.081326744,4.154048474,2.031143218
ENSG00000196208.12,na,1.812807977,2.322721158,0.761187122,4.808325834,2.63915275,4.227779575,3.337644809,0.73015156,3.473753947,2.85291032,3.190907367,4.733192645,0.769495616,4.863688573,0.616492913,2.702173249,4.73664605,4.950315144,2.798076961,3.444564391,0.34258295,0.157222897,4.680743716,3.602042697,3.598852103
ENSG00000170577.7,na,3.421488122,1.68809885,2.097484753,2.896116474,4.007695856,1.143548779,0.302151579,3.437884845,0.426622819,0.91908607,3.497218763,0.936572671,2.511662994,0.789398906,3.335539276,0.24348376,0.65625122,1.176946529,2.674299503,1.024472754,3.150615642,4.642979369,0.303199214,3.61705472,1.834131877
ENSG00000143556.7,na,4.273727463,2.481063819,2.479179594,0.086213068,0.104028022,0.03615931,0.036895515,2.577281607,2.084313949,4.257835856,0.063494077,0.139625933,3.098713849,0.108577383,0,0.506068528,0.488321077,0,0,0,8.501431919,0.293936358,3.120520235,0.296268919,1.712114382
